"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
60.6854362031336,-282.983797134316,1.18503460305368,-2.88309493828236,"Exploratory","Exploratory",3600,1,2220,2220,1,1,9
57.9675268137423,-281.494681823834,3.09911210782276,-0.925809530723066,"Exploratory","Exploratory",3600,1,2221,2221,2,3,9
57.432222656868,-280.956132063348,0.759332855134291,-0.287198754843785,"Exploratory","Exploratory",3600,1,2222,2222,1,4,9
57.4342974300138,-280.961283989366,0.00555400983953304,2.74206411889277,"Resting","Exploratory",3600,1,2223,2223,1,8,9
58.8833749745228,-280.387506120593,1.55853994902086,1.56496852198629,"Exploratory","Exploratory",3600,1,2224,2224,1,6,9
57.1863766535273,-280.049486945649,1.7303353039487,2.56795997210324,"Exploratory","Exploratory",3600,1,2225,2225,1,8,9
57.2520238727172,-281.041394390881,0.994077430230778,1.83349599340475,"Exploratory","Exploratory",3600,1,2226,2226,1,7,9
54.4113498291331,-279.866460164467,3.07406887663399,-2.02906746810739,"Exploratory","Exploratory",3600,1,2227,2227,2,2,9
53.5513802095015,-281.822512774742,2.13674742561038,1.54877124954488,"Exploratory","Exploratory",3600,1,2228,2228,1,6,9
51.8555665274296,-278.873092275389,3.40218537506513,-2.20557485710291,"Exploratory","Exploratory",3600,1,2229,2229,2,2,9
51.6074660456937,-270.325198260658,8.55149378390243,-0.492791404727312,"Transit","Exploratory",3600,1,2230,2230,4,4,9
52.8081261768886,-272.38337622672,2.38278855348622,-2.64251439261126,"Exploratory","Exploratory",3600,1,2231,2231,1,1,9
53.1395640389382,-271.67938760652,0.778107340776395,2.17348182695082,"Exploratory","Exploratory",3600,1,2232,2232,1,7,9
51.3782176250764,-273.602765925318,2.60801176125502,2.84015609242708,"Exploratory","Exploratory",3600,1,2233,2233,2,8,9
51.003452127138,-273.41257695956,0.42026303803843,-1.29896379427881,"Exploratory","Exploratory",3600,1,2234,2234,1,3,9
37.9582425223532,-269.088113503425,13.7433066551036,0.149521968374017,"Transit","Exploratory",3600,1,2235,2235,5,5,9
38.9575607442401,-268.007769680031,1.47165882097061,-1.99715521659402,"Exploratory","Exploratory",3600,1,2236,2236,1,2,9
40.0877078912928,-269.587066433897,1.9420120521671,-1.77401552467305,"Exploratory","Exploratory",3600,1,2237,2237,1,2,9
40.0851563020035,-270.145323925601,0.558263322861223,-0.625690815905375,"Exploratory","Exploratory",3600,1,2238,2238,1,4,9
40.1270094153985,-268.799964689365,1.34601008823415,3.1150640356978,"Exploratory","Exploratory",3600,1,2239,2239,1,8,9
37.7905283496264,-270.593021048148,2.94519861409765,2.25645095371369,"Exploratory","Exploratory",3600,1,2240,2240,2,7,9
39.0156036318767,-268.8361347155,2.14183543556063,-2.83426272401892,"Exploratory","Exploratory",3600,1,2241,2241,1,1,9
41.2712218528797,-268.446925397685,2.28895116854754,-0.791016825048687,"Exploratory","Exploratory",3600,1,2242,2242,1,3,9
49.0471441239335,-268.511493443162,7.77619033961795,-0.179171909812442,"Transit","Exploratory",3600,1,2243,2243,4,4,9
48.8011138136063,-267.551489014162,0.991029473476227,1.82998055152105,"Exploratory","Exploratory",3600,1,2244,2244,1,7,9
49.0392799077391,-267.86181293609,0.391182853554609,-2.7378813682743,"Exploratory","Exploratory",3600,1,2245,2245,1,1,9
52.703336159102,-266.704563450999,3.84246464966119,1.22212752877994,"Exploratory","Exploratory",3600,1,2246,2246,2,6,9
52.3907046963404,-266.438597461364,0.410458693598351,2.13074972067849,"Exploratory","Exploratory",3600,1,2247,2247,1,7,9
52.3913647988281,-266.441060002166,0.00254947886731181,2.53761636460992,"Resting","Exploratory",3600,1,2248,2248,1,8,9
53.4239400589832,-271.739085633104,5.39771129775889,-0.0694152887739756,"Exploratory","Exploratory",3600,1,2249,2249,3,4,9
54.9185120094644,-271.380128576101,1.53707367550727,1.61402052359905,"Exploratory","Exploratory",3600,1,2250,2250,1,7,9
55.6927594911633,-270.920065227449,0.900620590309675,0.300439796077729,"Exploratory","Exploratory",3600,1,2251,2251,1,5,9
56.430057398936,-270.086799548179,1.11262747451951,0.310277194553434,"Exploratory","Exploratory",3600,1,2252,2252,1,5,9
55.7494077412993,-272.558994513312,2.56418250170928,-2.68588819180695,"Exploratory","Exploratory",3600,1,2253,2253,2,1,9
55.9741512887112,-271.487531548821,1.0947796793777,-3.07968359601762,"Exploratory","Exploratory",3600,1,2254,2254,1,1,9
55.7550808699346,-271.542272729178,0.225806211628095,2.02241794952825,"Exploratory","Exploratory",3600,1,2255,2255,1,7,9
55.3145246107591,-274.714590181209,3.20276253162123,1.1879385861361,"Exploratory","Exploratory",3600,1,2256,2256,2,6,9
53.2493052511402,-282.14019645256,7.70744831318883,-0.133273142227187,"Transit","Exploratory",3600,1,2257,2257,4,4,9
53.0855129582037,-281.420261729307,0.738331850167464,-2.64662477109359,"Exploratory","Exploratory",3600,1,2258,2258,1,1,9
52.6565517137953,-281.233987221018,0.467660070609535,0.937418622471193,"Exploratory","Exploratory",3600,1,2259,2259,1,6,9
52.6467964644922,-281.308848100027,0.07549381494518,1.85089037317334,"Exploratory","Exploratory",3600,1,2260,2260,1,7,9
53.2009301649276,-276.156671096701,5.18189077765688,-3.11915258159072,"Exploratory","Exploratory",3600,1,2261,2261,3,1,9
